Molecule,SMILES,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,pEC50
CHEMBL248237,O=C(Nc1nc(-c2ccc(C(F)(F)F)cc2)cs1)c1ccc(Nc2ccncn2)cc1,12.694314034516214,0.3454579104624196,-4.389261645461392,0.4205659135373297,11.193548387096774,441.4380000000001,427.3260000000002,441.0871157280001,156,0,0.4159102346697703,-0.3401383623270391,0.4159102346697703,0.3401383623270391,0.967741935483871,1.7096774193548387,2.3548387096774195,32.13349117350932,10.103534104628013,2.2959180436446465,-2.0663886308284325,2.315420036083292,-2.111601240506821,7.137783564964379,-0.1371257451409527,3.227822773336444,1.405333092872305,1176.3780951878946,21.846724214874857,15.720234016730794,16.53673059765852,14.88116129880064,8.959732335479435,9.839385146734331,6.364101360802906,7.222204212660926,4.234094287840212,4.99181535464487,2.6804524882857166,3.3951763348510857,-3.79,13412455.768425085,20.48147044505081,8.522591694315768,5.039890555371054,178.38972985577178,5.316788604006331,12.14518285259957,5.131558479839333,0.0,5.907179729351506,6.176298517443475,10.111325788078153,14.951935562841626,13.17124514302446,11.336785877934735,12.13273413692322,42.46456947923127,28.391195600156543,11.257379486545457,17.96578232709628,33.88077313964416,0.0,14.951935562841626,0.0,6.176298517443475,10.633577208012662,83.62843301639202,0.0,11.257379486545457,10.633577208012662,29.80805267538238,0.0,11.336785877934735,20.85911529219313,6.176298517443475,0.0,15.921440167465814,72.50153003299803,0.0,11.257379486545457,0.0,79.8,11.73975000914047,17.96578232709628,0.0,5.907179729351506,27.77025223591681,17.820120411606784,29.7968400896225,41.90874168438704,0.0,25.585512770854287,0.0,38.082942103548646,1.1902507197302157,24.675997542250336,7.815191477129148,1.4810944266676935,0.2848965536704291,13.232672484515469,-1.3463786408452734,0.0,0.0,0.0476190476190476,31,2,6,0,0,0,2,2,4,6,2,10,5,0,0,0,4,5.6148000000000025,112.2619,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.31
CHEMBL429295,O=C(Nc1nc(-c2cccc(OC(F)(F)F)c2F)cs1)c1ccc(Nc2cc(N3CC(O)C3)ncn2)cc1,14.54351577951412,0.0480826292911293,-5.03952637822832,0.2832377044697374,13.657894736842104,546.5060000000002,528.3620000000002,546.1097223160002,196,0,0.5726980467092374,-0.402627151904136,0.5726980467092374,0.402627151904136,1.131578947368421,1.894736842105263,2.6052631578947367,32.133491717511845,10.135081868191886,2.3272152136865745,-2.362744551703942,2.335939778917563,-2.507279801206845,7.137806879297049,-0.275147666136067,3.310699135164674,1.2255813236321256,1458.2938203732997,26.863232072819905,19.237737264387267,20.05423384531499,18.141981545497668,11.081120102981126,11.96077291423602,8.180119678642589,9.038222530500605,5.447982163586799,6.205703230391455,3.6197975370589934,4.325405566979262,-4.299999999999999,292721264.3804695,25.353779313159176,10.221159355374525,5.811626586058058,216.31187310026485,20.06008868349756,17.9630456304346,16.698291154169134,0.0,5.907179729351506,6.362358859030383,10.111325788078153,19.342350610516444,0.0,24.508031020959194,6.06636706846161,36.39820241076966,41.350231908830224,11.797894382596764,32.19958772341185,39.6986359174792,0.0,14.951935562841626,0.0,12.466325246778686,28.62299975068829,71.61899172566623,0.0,17.00689131982936,20.270349892663187,40.01633050089224,5.749511833283905,11.336785877934735,51.52148074563768,0.0,5.817220841045895,10.357988675768818,60.23831939292334,0.0,11.257379486545457,0.0,112.5,23.83627126271169,27.462724769611803,0.0,22.49290435413309,35.976076133875765,17.403152946396347,23.840116982153678,30.33183534230805,4.899909730850478,30.322375724654336,0.0,55.75533267925975,0.991406852116602,27.064525810138427,16.730520025175394,0.8368808853582614,-1.4362345835705992,11.60858800242988,-3.984854438707728,1.0171681011333298,0.0,0.1666666666666666,38,3,9,0,1,1,2,2,4,9,3,14,7,0,1,1,5,4.814600000000004,132.12069999999997,0,1,1,0,0,3,0,0,0,0,1,1,0,1,0,4,2,0,0,0,0,0,0,0,0,3,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.15
CHEMBL400869,O=C(Nc1nc(-c2ccc(Cl)c(Cl)c2)ns1)c1ccc(Nc2ccncn2)cc1,12.476435254593625,0.2820142213263901,-0.2820142213263901,0.4351023329829279,10.551724137931034,443.3190000000001,431.2230000000002,442.017035364,144,0,0.2569823136633706,-0.3401383623270391,0.3401383623270391,0.2569823136633706,1.0,1.827586206896552,2.5517241379310347,35.498263188172174,10.16601824033462,2.121610539975866,-2.0591915821738223,2.2838974802782217,-2.1114004510814697,7.096492387395547,0.1022095389075296,3.1961548886541182,1.4268136830704763,1151.095325566779,20.216967702877938,14.634782600842277,16.96313707380691,14.080520035918411,8.319220354236194,9.848545962388624,5.803118297941825,7.369365254160137,3.825745736685241,5.195284775894877,2.4134671386342434,3.296363609637436,-3.069999999999999,6199159.74507709,19.255296324764032,8.521659683193983,4.678715093374469,179.4954519562517,5.316788604006331,12.14518285259957,5.824404497999927,5.131558479839333,5.907179729351506,0.0,10.111325788078153,9.967957041894415,9.357518502363655,0.0,23.20187978046503,48.53093654769288,34.543619441257306,10.045266627482652,4.794537184071822,57.278353653741135,0.0,19.325475544258072,0.0,0.0,10.633577208012662,76.66381831325016,0.0,11.387855989696924,10.633577208012662,16.636807532357924,0.0,34.7343663920317,25.23265527360958,0.0,0.0,10.357988675768818,61.055100194070505,10.045266627482652,11.387855989696924,0.0,92.69,0.0,4.794537184071822,0.0,5.907179729351506,32.38254387485394,22.78332437794723,6.3273200747645415,54.72778011930596,0.0,29.959052752270736,23.20187978046503,4.256961271031645,13.04795688729685,24.774544176680543,7.136314614094374,2.012862258114056,0.8514665618286774,13.874344888236532,3.101104898272875,0.0,0.0,0.0,29,2,7,0,0,0,2,2,4,7,2,10,5,0,0,0,4,5.297800000000002,115.0749,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36
CHEMBL438874,O=C(Nc1nc(-c2ccc(F)c(C(F)(F)F)c2)cs1)c1ccc(Nc2ccnnc2)cc1,13.491640614975465,0.0939843015509709,-4.817368562515417,0.3714742198975097,11.25,459.42800000000005,446.3240000000002,459.0776939160001,162,0,0.4187443214656058,-0.3541681722167295,0.4187443214656058,0.3541681722167295,0.96875,1.75,2.4375,32.133491274002296,10.08257529235742,2.339925263799111,-2.08674821891948,2.3464084303065755,-2.11233732911671,7.137788267911759,-0.1394734553423847,3.2268502871220304,1.4500319981162275,1243.292148900813,22.71696770287793,16.020848220550395,16.83734480147812,15.2918449013236,9.07225068574839,9.951903497003284,6.517876804321466,7.375979656179485,4.312185224638801,5.069906291443458,2.771102673889056,3.485826520454425,-3.86,19141107.97755735,21.375021650003774,8.710956187882228,4.887492174861364,182.5237188271028,5.316788604006331,5.817220841045895,5.131558479839333,0.0,5.907179729351506,6.176298517443475,10.111325788078153,9.374393568622027,23.36860875962653,11.336785877934735,0.0,48.53093654769288,22.194352028543467,29.33845290445517,22.3561973747711,33.7502966364927,0.0,15.181342137549285,0.0,6.176298517443475,10.633577208012662,83.24881028582483,0.0,11.257379486545457,10.633577208012662,34.067991219905736,0.0,11.336785877934735,21.08852186690079,6.176298517443475,5.817220841045895,15.921440167465814,66.30468646138495,0.0,11.257379486545457,0.0,79.8,23.46415057953787,22.3561973747711,0.0,16.388937966384788,11.629818560158606,28.77792549576347,11.446429838927523,42.725522485534206,0.0,25.814919345561947,0.0,52.29593745990185,1.0465985709881047,16.622017608747406,14.854184471686796,0.7581388950520409,-1.7905084089908732,11.015371489403762,-1.7184067534557643,0.0,0.0,0.0476190476190476,32,2,6,0,0,0,2,2,4,6,2,11,5,0,0,0,4,5.7539000000000025,112.21989999999998,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.4
CHEMBL246429,O=C(Nc1nc(-c2ccc(F)c(C(F)(F)F)c2)ns1)c1ccc(Nc2cc(N3CCC3)ncn2)cc1,13.535747198075052,0.0158439451144236,-4.848763836509314,0.3339723043521546,13.27777777777778,515.4960000000002,498.3600000000002,515.1151420440001,184,0,0.418745318430233,-0.3563207897159713,0.418745318430233,0.3563207897159713,1.0277777777777777,1.805555555555556,2.5,32.13714031996968,10.099445435929868,2.3418219939645777,-2.3143920358234533,2.33957884502797,-2.3714041262254137,7.096477274818213,-0.1394746642055735,3.264687477506513,1.239280622049168,1404.3451581555362,25.28588180363028,18.3818952167307,19.198391797658424,17.258171396512385,10.723996866293373,11.497393528427349,7.874043259023122,8.625889961760217,5.428649708152609,6.059159468624228,3.428880385537634,4.013685674918217,-4.13,119745942.10245816,23.60437845007477,9.491025136347572,5.099731414138043,205.7648320884539,10.216698334856808,23.78026647148049,5.824404497999927,5.131558479839333,5.907179729351506,6.176298517443475,10.111325788078153,14.358372089569237,22.52876364538812,0.0,0.0,48.88539110215728,47.50265574993098,5.563451491696996,22.3561973747711,39.89433665111113,0.0,19.325475544258072,0.0,12.597120140369483,28.62299975068829,71.80238044689732,0.0,11.387855989696924,15.53348693886314,40.01633050089224,0.0,11.532486611566677,38.32216808543473,6.176298517443475,5.817220841045895,22.342261790391824,54.85825662245743,0.0,11.387855989696924,0.0,95.93,23.46415057953787,22.3561973747711,0.0,16.519414469536255,23.514048406455245,48.61443716729803,6.3273200747645415,24.26546827384644,6.06636706846161,34.85896248312122,0.0,56.44957997936659,0.8014900161692611,27.286394056150773,5.8291096292007705,-0.3723199075933623,-0.4352955906361549,10.976700220304387,-2.219918403767731,1.9342600008054671,0.0,0.1739130434782608,36,2,8,0,1,1,2,2,4,8,2,13,6,0,1,1,5,5.359000000000004,126.8449,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,3,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09
CHEMBL247607,O=C(Nc1nc(-c2cccc(Cl)c2Cl)cs1)c1ccc(Nc2ccncn2)cc1,12.51787821251175,0.2530767265754035,-0.2530767265754035,0.4022109969955214,10.551724137931034,442.3310000000001,429.2270000000002,441.0217863960001,144,0,0.2569434961784299,-0.3401383623270391,0.3401383623270391,0.2569434961784299,1.0344827586206895,1.862068965517241,2.6206896551724137,35.49826337264867,10.157190793687596,2.1285159676751078,-2.0622505996423874,2.3444838118690785,-2.111493680383279,7.137909727012144,0.1022098211384898,3.19297469415704,1.4439320514227216,1149.2675209543495,20.216967702877938,14.76491927453194,17.09327374749658,14.09735678832402,8.443399829785196,10.078981587058546,5.89037044740099,7.533637899008844,3.95365078528929,5.530274422218581,2.5432197011889377,3.646167402504856,-2.999999999999999,6293940.62952725,19.322235434007133,8.566329565734682,4.535322359396433,180.1347139863598,5.316788604006331,12.14518285259957,5.131558479839333,0.0,5.907179729351506,0.0,10.111325788078153,14.951935562841626,0.0,11.336785877934735,35.33461391738825,36.39820241076966,28.391195600156543,15.739194622331112,4.794537184071822,57.0826529201092,0.0,14.951935562841626,0.0,0.0,10.633577208012662,82.04388108371607,0.0,11.257379486545457,10.633577208012662,16.636807532357924,0.0,34.538665658399765,20.85911529219313,0.0,0.0,10.357988675768818,66.43516296453642,10.045266627482652,11.257379486545457,0.0,79.8,0.0,4.794537184071822,0.0,5.907179729351506,32.252067371702466,11.250837766380558,17.66410595269928,48.661413050844345,11.446429838927523,25.585512770854287,23.20187978046503,0.0,13.619026628906068,24.92776156975832,9.126352170109254,2.695760870510369,0.4202498105461929,14.15627063552482,3.110133870200525,0.0,0.0,0.0,29,2,6,0,0,0,2,2,4,6,2,9,5,0,0,0,4,5.902800000000003,117.27989999999998,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.87
CHEMBL247041,CC(C)Cc1cccc(-c2csc(NC(=O)c3ccc(Nc4ccncn4)cc3)n2)c1F,14.912861773032636,0.2535625577391447,-0.28378098436089,0.3668219906751132,10.875,447.539,425.36300000000017,447.1529095440001,162,0,0.2569434961972748,-0.3401383623270391,0.3401383623270391,0.2569434961972748,1.125,1.9375,2.65625,32.13349116805901,9.991907035117263,2.150065712751744,-2.0865594821425613,2.293164368424038,-2.112091274657211,7.137795185932797,0.1022085497134607,3.240629036267377,1.439827331408923,1208.8088929687112,22.50142475325411,17.67141185189889,18.48790843282661,15.491203638441371,10.170919812716972,11.050572623971869,7.66564221990854,8.523745071766555,4.708913143215747,5.4666342100204055,3.216691290019746,3.922299319940015,-3.65,23527329.75375322,21.57707813465809,9.65453411357082,5.148369424350245,189.15348539310915,5.316788604006331,17.962403693645463,5.131558479839333,0.0,5.907179729351506,0.0,10.111325788078153,19.342350610516448,0.0,11.336785877934735,25.980208536304467,54.300381571554055,28.391195600156543,5.693927994848461,9.184952231746642,33.88077313964416,0.0,14.951935562841626,5.917906046161393,20.268296022307258,10.633577208012662,83.37928678897632,0.0,11.257379486545457,10.633577208012662,21.027222580032745,0.0,11.336785877934735,20.85911529219313,6.4208216229260096,11.735126887207288,29.76891456684706,66.43516296453642,0.0,11.257379486545457,0.0,79.8,0.0,9.184952231746642,0.0,11.7244005703974,45.672431396701214,5.687386274683562,17.66410595269928,54.04147582131026,6.06636706846161,39.432987170235535,0.0,14.912861773032636,1.2645247680841252,25.013452002882417,8.093175894851147,2.915038421510221,0.4809879065641809,14.108956839708249,3.764119470291285,4.113549589742404,0.0,0.1666666666666666,32,2,6,0,0,0,2,2,4,6,2,8,7,0,0,0,4,5.933600000000005,125.75990000000002,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.46
CHEMBL249062,O=C(Nc1nc(-c2cccc(Cl)c2F)cs1)c1ccc(Nc2ccncn2)cc1,14.149667328588192,0.0247689684981977,-0.5378526811959354,0.4478819676565658,10.551724137931034,425.8760000000001,412.7720000000002,425.0513369360001,144,0,0.2569434961973044,-0.3401383623270391,0.3401383623270391,0.2569434961973044,1.103448275862069,1.9310344827586208,2.689655172413793,35.4956924873222,10.147777666037976,2.136876032321364,-2.061673507150658,2.299177500824735,-2.1117244129713444,7.137806075796679,0.1022094023245225,3.19297469415704,1.4439320514227216,1151.2675209543495,20.216967702877938,14.76491927453194,16.33734480147812,14.09735678832402,8.443399829785196,9.70101711404932,5.89037044740099,7.155673425999617,3.95365078528929,5.003279699444567,2.5432197011889377,3.4233670595396903,-3.3599999999999994,6293940.62952725,18.97812927187042,8.33735414470829,4.389509670624335,173.9969831624044,5.316788604006331,12.14518285259957,10.948779320885228,0.0,5.907179729351506,0.0,10.111325788078153,19.342350610516444,0.0,11.336785877934735,17.667306958694127,42.46456947923127,28.391195600156543,10.716561308589789,9.184952231746642,45.48171302987669,0.0,14.951935562841626,0.0,0.0,10.633577208012662,82.83846861102064,0.0,11.257379486545457,10.633577208012662,21.027222580032745,0.0,22.93772576816725,20.85911529219313,0.0,5.817220841045895,10.357988675768818,66.43516296453642,5.022633313741326,11.257379486545457,0.0,79.8,5.817220841045895,9.184952231746642,0.0,16.493264534789827,22.206800744219816,5.687386274683562,23.73047302116089,54.04147582131026,0.0,25.585512770854287,11.600939890232516,14.149667328588192,7.0249986442327845,24.69345472671125,7.893927360514877,1.945589402746309,-0.1982080293799011,13.35526308527485,3.079751925756081,0.0,0.0,0.0,29,2,6,0,0,0,2,2,4,6,2,9,5,0,0,0,4,5.388500000000002,112.2279,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.21
CHEMBL246847,COc1cc(Nc2ccc(C(=O)Nc3nc(-c4cccc(C(F)(F)F)c4F)cs3)cc2)ncn1,14.363878309140546,0.0104379950533792,-4.825683209136789,0.3348435947468443,11.205882352941176,489.45400000000006,474.3340000000001,489.0882586000001,174,0,0.4187456813828716,-0.480852865795266,0.480852865795266,0.4187456813828716,1.088235294117647,1.8529411764705883,2.5588235294117645,32.13349142329913,10.075611949104434,2.347944214932477,-2.094649697731816,2.358862099445345,-2.114099111129084,7.137798148404389,-0.1394484053605654,3.2684106498532666,1.4500057786682932,1325.627014226893,24.294317972067564,17.351746241824628,18.168242822752354,16.240533306307345,9.604486447754514,10.48413925900941,6.804856782095874,7.662959633953893,4.575345624621423,5.33306669142608,2.945149116993905,3.650757146914176,-4.059999999999998,47041959.93684348,23.11009122951372,9.432425860611117,5.1187993649587735,194.03375260260157,10.05365155780638,17.962403693645463,5.131558479839333,5.879988336435371,5.907179729351506,6.176298517443475,10.111325788078153,19.342350610516444,13.17124514302446,11.336785877934735,6.06636706846161,36.39820241076966,28.26071909700508,18.36717702782299,27.09306032857115,33.88077313964416,0.0,14.951935562841626,0.0,6.176298517443475,17.743374749290194,77.18244321736323,0.0,17.137367822980828,15.37044016181271,34.198467723057206,5.879988336435371,11.336785877934735,27.96891283347066,6.176298517443475,5.817220841045895,15.921440167465814,60.23831939292334,0.0,11.257379486545457,0.0,89.03,23.464150579537872,22.3561973747711,0.0,16.388937966384788,29.015055949112565,17.403152946396347,24.8835474549696,30.33183534230805,0.0,25.585512770854287,4.736862953800049,58.289625379714586,0.9684695769778048,24.58750609348628,7.100700707500419,-0.7162485405640786,-1.0085536004973277,11.023280471442655,-3.481925726330516,0.0,1.48714563827018,0.0909090909090909,34,2,7,0,0,0,2,2,4,7,2,12,6,0,0,0,4,5.762500000000002,118.7719,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.42
CHEMBL246843,O=C(Nc1nc(-c2cccc(C(F)(F)F)c2F)cs1)c1ccc(Nc2cncnc2)cc1,14.328578925089538,0.0013629929289267,-4.817742350374788,0.3714742198975097,11.25,459.42800000000005,446.3240000000002,459.0776939160001,162,0,0.4187456813828716,-0.3530052199968561,0.4187456813828716,0.3530052199968561,0.96875,1.6875,2.375,32.13349127456823,10.075611085880114,2.347842322932642,-2.094477330508341,2.3585560040158957,-2.11378471688515,7.137795335338118,-0.1394477344937988,3.221961330200158,1.4645540133045916,1243.2921489008124,22.71696770287793,16.020848220550395,16.83734480147812,15.308681653729208,9.061298196053087,9.940951007307982,6.486401188793147,7.344504040651167,4.301060264858896,5.058781331663553,2.8081199283572698,3.51372795827754,-3.86,19366771.369092245,21.375021650003774,8.710956187882228,4.723604085569182,182.55526525869803,5.316788604006331,12.144540915810436,5.131558479839333,0.0,5.907179729351506,6.176298517443475,10.111325788078153,19.342350610516444,13.17124514302446,11.336785877934735,6.06636706846161,36.39820241076966,22.194352028543467,29.33845290445517,22.3561973747711,33.7502966364927,0.0,14.951935562841626,0.0,6.176298517443475,10.633577208012662,83.50976329212777,0.0,11.257379486545457,10.633577208012662,34.067991219905736,0.0,11.336785877934735,20.85911529219313,6.176298517443475,5.817220841045895,15.921440167465814,66.56563946768787,0.0,11.257379486545457,0.0,79.8,23.464150579537872,22.3561973747711,0.0,16.388937966384788,23.00459110952573,17.403152946396347,17.773749913692065,36.6591554170726,0.0,25.585512770854287,0.0,53.13192676006416,0.9771597689222424,24.32426574786173,7.152416051794017,0.0660921476421974,-1.874916658793148,9.521099972299096,-0.214710456456959,0.0,0.0,0.0476190476190476,32,2,6,0,0,0,2,2,4,6,2,11,5,0,0,0,4,5.753900000000003,112.21989999999998,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.5
CHEMBL400741,O=C(Nc1nc(-c2cccc(C(F)(F)F)c2F)cs1)c1ccc(Nc2ncccn2)cc1,14.32750253620065,0.0034175622911882,-4.818634435149875,0.3714742198975097,11.25,459.42800000000005,446.3240000000002,459.0776939160001,162,0,0.4187456813828716,-0.3241873603207144,0.4187456813828716,0.3241873603207144,0.96875,1.6875,2.375,32.133491274635944,10.075612869731962,2.347851866496571,-2.0943020801453933,2.358454217737258,-2.114300155537272,7.1377949754434455,-0.1394477787814047,3.221961330200158,1.4645540133045916,1243.2921489008124,22.71696770287793,16.020848220550395,16.83734480147812,15.308681653729208,9.08143040953576,9.961083220790655,6.431646221173595,7.289749073031614,4.27372421160586,5.0314452784105175,2.770552706564183,3.4761607364844527,-3.86,19366771.369092245,21.375021650003774,8.710956187882228,4.723604085569182,182.555265258698,5.316788604006331,5.817220841045895,5.131558479839333,5.948339280986494,5.907179729351506,6.176298517443475,10.111325788078153,19.342350610516444,13.17124514302446,11.336785877934735,6.06636706846161,42.46456947923127,34.58803917176962,11.257379486545457,22.3561973747711,34.01124964279563,0.0,14.951935562841626,0.0,6.176298517443475,10.633577208012662,83.24881028582485,0.0,11.257379486545457,10.633577208012662,34.32894422620867,0.0,11.336785877934735,20.85911529219313,6.176298517443475,5.817220841045895,15.921440167465814,66.30468646138495,0.0,11.257379486545457,0.0,79.8,23.464150579537872,22.3561973747711,0.0,16.388937966384788,23.265544115828664,17.403152946396347,11.446429838927523,42.725522485534206,0.0,25.585512770854287,0.0,53.12860764401904,0.9745197321912964,24.607699406449075,7.0449768278046765,-0.6754957194743603,-1.478307926849177,11.12402691280418,-1.6426935436114023,0.0,0.0,0.0476190476190476,32,2,6,0,0,0,2,2,4,6,2,11,5,0,0,0,4,5.753900000000003,112.21989999999998,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.11
